Mississippi,M.S
Palau,P.W
Oklahoma,O.K
Delaware,D.E
Minnesota,M.N
Illinois,I.L
Arkansas,A.R
Virgin_Islands,V.I
Indiana,I.N
Maryland,M.D
Louisiana,L.A
New_Hampshire,N.H
Idaho,I.D
New_York,N.Y
Puerto_Rico,P.R
Tennessee,T.N
Arizona,A.Z
Iowa,I.A
Michigan,M.I
Kansas,K.S
Utah,U.T
Virginia,V.A
Oregon,O.R
District_of_Columbia,D.C
Connecticut,C.T
Montana,M.T
California,C.A
Massachusetts,M.A
New_Mexico,N.M
South_Dakota,S.D
Federated_States_of_Micronesia,F.M
Wisconsin,W.I
American_Samoa,A.S
Vermont,V.T
Georgia,G.A
Pennsylvania,P.A
Northern_Mariana_Islands,M.P
Florida,F.L
Alaska,A.K
Kentucky,K.Y
Hawaii,H.I
Nebraska,N.E
North_Dakota,N.D
Missouri,M.O
Ohio,O.H
Alabama,A.L
New_Jersey,N.J
Marshall_Islands,M.H
Wyoming,W.Y
Colorado,C.O
Guam,G.U
Washington,W.A
West_Virginia,W.V
South_Carolina,S.C
Rhode_Island,R.I
North_Carolina,N.C
Texas,T.X
Nevada,N.V
Maine,M.E
